Instance,Best-cost
1bpi_.2knt_.g.wcnf.t.wcnf,35
1bpi_.5pti_.g.wcnf.t.wcnf,29
1knt_.1bpi_.g.wcnf.t.wcnf,35
1knt_.2knt_.g.wcnf.t.wcnf,16
1knt_.5pti_.g.wcnf.t.wcnf,29
1vii_.1cph_.g.wcnf.t.wcnf,7
2knt_.5pti_.g.wcnf.t.wcnf,32
3ebx_.1era_.g.wcnf.t.wcnf,34
3ebx_.6ebx_.g.wcnf.t.wcnf,23
6ebx_.1era_.g.wcnf.t.wcnf,30
AES1-30-1.wcnf,1
AES1-30-2.wcnf,1
AES1-30-5.wcnf,1
AES1-50-15.wcnf,1
AES1-60-18.wcnf,1
AES1-60-19.wcnf,1
AES1-60-20.wcnf,1
AES1-70-21.wcnf,1
AES1-70-23.wcnf,1
AES1-70-25.wcnf,1
AES1-72-26.wcnf,1
AES1-74-34.wcnf,1
AES1-76-38.wcnf,1
AES2-40-50.wcnf,2
AES2-70-64.wcnf,2
AES2-74-75.wcnf,2
AMAZON.wcnf,51608
ann.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,83
aus.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,59
australian.wcnf,452
b14_C-mbd14-0248.wcnf,25
b14_opt_bug2_vec1-gate-0.dimacs.seq.filtered.wcnf,1
b15_C-mbd14-0259.wcnf,22
b17_C-mbd14-0261.wcnf,21
b20_C-mbd14-0252.wcnf,21
b20_C-mbd14-0267.wcnf,20
b20_C-mbd14-0298.wcnf,18
b20_C-mbd14-0358.wcnf,19
b21_C-mbd14-0250.wcnf,20
b21_C-mbd14-0295.wcnf,21
b21_C-mbd14-0304.wcnf,24
b21_C-mbd14-0308.wcnf,18
b21_C-mbd14-0394.wcnf,23
b22_C-mbd14-0225.wcnf,25
b22_C-mbd14-0250.wcnf,22
b22_C-mbd14-0308.wcnf,24
b22_C-mbd14-0318.wcnf,20
bip.maxcut-140-630-0.7-13.wcnf,169
bip.maxcut-140-630-0.7-37.wcnf,170
bip.maxcut-140-630-0.7-42.wcnf,161
bip.maxcut-140-630-0.7-44.wcnf,163
bip.maxcut-140-630-0.8-24.wcnf,165
bre-res-str.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,5
bupa.wcnf,294
c1_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.wcnf,4
c2_DD_s3_f1_e2_v1-bug-onevec-gate-0.dimacs.seq.filtered.wcnf,1
c5_DD_s3_f1_e1_v2-bug-gate-0.dimacs.seq.filtered.wcnf,8
c7552-bug-gate-0.dimacs.seq.filtered.wcnf,1
car.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,42
car.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,143
causal_n5_i5_N10000_uai13_constant_int.wcnf,5
causal_n5_i7_N1000_uai13_constant_int.wcnf,11
causal_n5_i9_N1000_uai13_constant_int.wcnf,12
causal_n5_i9_N1000_uai13_harddeps_int.wcnf,17
causal_n5_i9_N10000_uai13_harddeps_int.wcnf,17
causal_n6_i10_N500_uai14_constant_int.wcnf,28
causal_n6_i2_N1000_uai13_constant_int.wcnf,15
causal_n6_i2_N10000_uai14_harddeps_int.wcnf,48
causal_n6_i8_N1000_uai14_constant_int.wcnf,26
causal_n6_i8_N10000_uai14_constant_int.wcnf,26
causal_n7_i10_N1000_uai14_constant_int.wcnf,42
causal_n7_i5_N1000_uai14_constant_int.wcnf,48
causal_n7_i5_N10000_uai14_constant_int.wcnf,48
causal_n7_i6_N500_uai14_harddeps_int.wcnf,116
causal_n7_i8_N1000_uai14_constant_int.wcnf,24
causal_n7_i8_N1000_uai14_harddeps_int.wcnf,94
cellda_x_10.wcnf,9
cellda_x_12.wcnf,9
cellda_y_10.wcnf,6
cleveland.wcnf,412
cloud.wcnf,254
cnf_10_center.wcnf,159
cnf_10.wcnf,50
cnf_12_center.wcnf,237
cnf_12.wcnf,61
cnf_small.wcnf,28
cnf.10.p.6.wcnf,10
cnf.10.p.7.wcnf,10
cnf.10.p.8.wcnf,10
cnf.13.p.6.wcnf,13
cnf.13.p.7.wcnf,13
cnf.14.p.4.wcnf,14
cnf.14.t.7.wcnf,14
cnf.15.p.6.wcnf,15
cnf.16.p.8.wcnf,16
cnf.17.p.8.wcnf,17
cnf.17.t.8.wcnf,17
cnf.18.p.10.wcnf,18
cnf.18.p.7.wcnf,18
cnf.19.p.5.wcnf,19
cnf.20.p.7.wcnf,20
cnf.20.p.9.wcnf,20
colic.wcnf,163
corral.wcnf,12
cra-scp.scpclr13_maxsat.wcnf,23
cra-scp.scpcyc10_maxsat.wcnf,1838
d4.wcnf,2401
data.135.wcnf,103
data.243.wcnf,198
data.405.wcnf,336
data.729.wcnf,617
DBLP.wcnf,57081
dermatology.wcnf,40
dim.brock400_3.clq.wcnf,238
dim.brock400_4.clq.wcnf,249
dim.hamming10-4.clq.wcnf,319
dim.hamming8-2.clq.wcnf,441
dim.MANN_a9.clq.wcnf,422
divider-problem.dimacs_3.filtered.wcnf,1
dp43.wcnf,47
drmx-am12-outof-40-ekmtot.wcnf,28
drmx-am12-outof-40-emtot.wcnf,28
drmx-am16-outof-45-ecardn.wcnf,29
drmx-am16-outof-45-esortn.wcnf,29
drmx-am16-outof-45-etot.wcnf,29
drmx-am20-outof-50-emtot.wcnf,30
drmx-am20-outof-50-eseqc.wcnf,30
drmx-am20-outof-50-etot.wcnf,30
drmx-am24-outof-55-ecardn.wcnf,31
drmx-am24-outof-55-ekmtot.wcnf,31
drmx-am28-outof-60-ecardn.wcnf,32
drmx-am28-outof-60-emtot.wcnf,32
drmx-am32-outof-70-ekmtot.wcnf,38
drmx-am32-outof-70-eseqc.wcnf,38
drmx-am32-outof-70-esortn.wcnf,38
drmx-am32-outof-70-etot.wcnf,38
ecoli.wcnf,511
extension-enforcement_non-strict_stb_150_0.1_2_8_2.wcnf,8
extension-enforcement_non-strict_stb_200_0.05_1_10_0.wcnf,7
extension-enforcement_non-strict_stb_200_0.05_1_10_1.wcnf,11
extension-enforcement_non-strict_stb_200_0.05_3_10_0.wcnf,9
extension-enforcement_non-strict_stb_200_0.05_3_10_4.wcnf,7
extension-enforcement_non-strict_stb_200_0.05_4_10_4.wcnf,7
extension-enforcement_non-strict_stb_200_0.1_2_10_1.wcnf,8
extension-enforcement_non-strict_stb_200_0.1_4_10_2.wcnf,8
extension-enforcement_strict_com_100_0.05_4_20_3.wcnf,15
extension-enforcement_strict_com_150_0.05_0_15_2.wcnf,39
extension-enforcement_strict_com_150_0.05_3_30_0.wcnf,33
extension-enforcement_strict_com_150_0.05_4_30_4.wcnf,27
extension-enforcement_strict_com_150_0.1_2_15_0.wcnf,26
extension-enforcement_strict_com_150_0.1_4_15_1.wcnf,24
extension-enforcement_strict_com_200_0.05_0_40_1.wcnf,26
extension-enforcement_strict_com_200_0.1_0_10_1.wcnf,35
flush_reload_min.wcnf,45
FOOTBALL.wcnf,13
fpu4-problem.dimacs_19.filtered.wcnf,1
fpu5-problem.dimacs_20.filtered.wcnf,1
frb10-6-2.wcnf,50
frb10-6-3.wcnf,50
frb10-6-5.wcnf,50
frb20-11-2.partial.wcnf,200
frb20-11-3.partial.wcnf,200
frb20-11-4.partial.wcnf,200
frb20-11-5.partial.wcnf,200
frb25-13-2.partial.wcnf,300
frb25-13-5.partial.wcnf,300
frb30-15-1.partial.wcnf,420
frb30-15-2.partial.wcnf,420
frb30-15-5.partial.wcnf,420
frb35-17-2.partial.wcnf,560
frb35-17-3.partial.wcnf,560
frb40-19-3.partial.wcnf,720
frb40-19-5.partial.wcnf,720
geffe128_1.wcnf,800
geffe128_6.wcnf,800
geffe128_9.wcnf,800
gen_add_4_33.wcnf,158
gen_add_4_carry_33.wcnf,188
gen_add_4_carry_991.wcnf,56
gen_add_5_carry_299.wcnf,948
gen_add_6_991.wcnf,102
gen_cvc-add3-carry2-gadget_33.wcnf,51
gen_cvc-add7to3_991.wcnf,158
gen_cvc-mult4_4_991.wcnf,85
gen_cvc-mult4_4_9999.wcnf,98
gen_mult_4_4_9999.wcnf,98
gen_mult_4_5_299.wcnf,1106
gen_mult_4_5_9999.wcnf,197
gen_mult_4_6_991.wcnf,139
gen_mult_4_7_991.wcnf,148
gen_mult_5_5_399.wcnf,2296
gen_mult_5_5_991.wcnf,232
GenHyperTW_adder_15.wcnf,2
GenHyperTW_aim-50-1_6-no-3.wcnf,10
GenHyperTW_aim-50-1_6-yes1-3.wcnf,10
GenHyperTW_aim-50-3_4-yes1-3.wcnf,15
GenHyperTW_b01.wcnf,5
GenHyperTW_b06.wcnf,4
GenHyperTW_flat30-50.wcnf,26
GenHyperTW_flat30-99.wcnf,26
GenHyperTW_hole6.wcnf,7
GenHyperTW_hole8.wcnf,9
GenHyperTW_hole9.wcnf,10
GenHyperTW_par8-4-c.wcnf,8
GenHyperTW_par8-5-c.wcnf,9
GenHyperTW_s208.wcnf,7
GenHyperTW_s27.wcnf,2
GenHyperTW_uf20-050.wcnf,6
glass.wcnf,299
GreeceWesternGreeceUniversityInstance4.xml.wcnf,14
hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,28
hepatitis.wcnf,58
hip-sim.simp-abcd_5.01.wcnf,7
hip-sim.simp-ace_25.06.wcnf,11
hip-sim.simp-cf_10.09.wcnf,15
hip-sim.simp-ibd_25.01.wcnf,31
hip-sim.simp-nonunif-100_100.11.wcnf,38
hip-sim.simp-nonunif-100_50.14.wcnf,25
hip-sim.simp-test_chr21_CEU_75.wcnf,14
hip-su.SU1__simp-genos.haps.48.wcnf,129
hip-su.SU3__simp-genos.haps.41.wcnf,158
hyp.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,46
i2c_master1.dimacs.filtered.wcnf,1
indo.wcnf,13
iris.wcnf,87
KARATE.wcnf,4
kbtree9_7_3_5_20_5.wcsp.wcnf,1
kbtree9_7_3_5_40_1.wcsp.wcnf,27
kbtree9_7_3_5_50_1.wcsp.wcnf,36
kbtree9_7_3_5_50_3.wcsp.wcnf,37
kbtree9_7_3_5_50_4.wcsp.wcnf,38
kbtree9_7_3_5_60_3.wcsp.wcnf,59
kbtree9_7_3_5_60_4.wcsp.wcnf,59
kbtree9_7_3_5_60_6.wcsp.wcnf,57
kbtree9_7_3_5_70_5.wcsp.wcnf,72
kbtree9_7_3_5_70_6.wcsp.wcnf,74
kbtree9_7_3_5_80_2.wcsp.wcnf,103
kbtree9_7_3_5_90_3.wcsp.wcnf,121
kbtree9_7_3_5_90_4.wcsp.wcnf,126
kbtree9_7_3_5_90_5.wcsp.wcnf,124
lam.20-100-frag12-0.wcnf,41
lam.20-100-frag12-45.wcnf,43
lam.20-100-frag12-56.wcnf,42
lam.20-100-frag12-79.wcnf,43
