Name,CASHWMaxSAT-DisjCom-S6,CASHWMaxSAT-DisjCom-S9,UWrMaxSat-SCIP,EvalMaxSAT,CASHWMaxSAT-DisjCad-S6,CASHWMaxSAT-DisjCad-S9,EvalMaxSAT-SBVA,EvalMaxSAT-SBVA-saveCores,wmaxcdcl-openwbo1200,cgss_default,cgss_abst_cg,wmaxcdcl,Pacose,PacoseMP2,Exact,VBS
abstraction-refinement_wt-downcast-antlr.wcnf,1462.58,1787.13,273.002,996.109,562.708,563.16,1252.76,1207.89,165.193,829.329,716.862,475.557,FAILED,FAILED,FAILED,165.193
abstraction-refinement_wt-downcast-avrora.wcnf,129.042,129.151,128.834,630.498,228.224,227.665,767.999,766.29,63.8481,404.529,370.271,409.708,FAILED,2338.47,515.059,63.8481
abstraction-refinement_wt-downcast-hsqldb.wcnf,573.151,572.386,613.425,836.463,467.2,468.85,1043.19,1001.92,150.514,835.441,717.222,910.768,1071.41,611.123,289.775,150.514
abstraction-refinement_wt-downcast-pmd.wcnf,518.488,519.63,521.916,926.88,618.068,618.039,1059.06,1084.74,98,809.669,885.36,776.487,1279.02,997.047,800.583,98
abstraction-refinement_wt-downcast-xalan.wcnf,174.524,177.009,172.931,696.81,311.702,309.525,875.946,899.59,235.311,499.106,518.815,322.698,3462.22,1897.21,1632.87,172.931
abstraction-refinement_wt-polysite-avrora.wcnf,174.736,174.107,187.168,569.122,168.462,168.422,717.993,722.153,62.5967,339.491,328.105,298.976,560.122,384.912,148.018,62.5967
abstraction-refinement_wt-polysite-bloat.wcnf,1637.88,1609.69,1610.57,1024.4,1187.44,1189.53,1205.51,1200.7,FAILED,1631.26,1436.34,FAILED,FAILED,FAILED,1198.22,1024.4
abstraction-refinement_wt-polysite-hsqldb.wcnf,553.058,504.129,506.271,761.583,510.157,509.502,927.312,935.743,280.225,944.435,790.177,714.965,554.994,618.023,502.227,280.225
abstraction-refinement_wt-polysite-lusearch.wcnf,84.4647,83.6942,84.7846,519.343,157.324,157.815,578.15,627.429,37.9203,313.772,257.481,136.229,1514.1,1257.88,207.413,37.9203
abstraction-refinement_wt-polysite-pmd.wcnf,461.152,451.237,526.641,828.49,471.139,468.589,1017.17,982.936,197.91,983.65,933.766,725.264,FAILED,3498.78,413.516,197.91
abstraction-refinement_wt-polysite-xalan.wcnf,359.454,318.404,323.346,1219.46,868.605,865.397,1462.83,1366.84,831.737,1598.15,2078.75,695.322,FAILED,FAILED,1480.18,318.404
af-synthesis_wt-af-synthesis_stb_50_100_4.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3311,FAILED,FAILED,2096.33,1328.65,1307.86,FAILED,1307.86
af-synthesis_wt-af-synthesis_stb_50_120_5.wcnf,FAILED,FAILED,2867.41,2985.48,2139.94,2442.9,FAILED,FAILED,2102.99,FAILED,1877.81,868.466,675.031,565.611,FAILED,565.611
af-synthesis_wt-af-synthesis_stb_50_140_0.wcnf,1998.35,2052.9,3290.78,FAILED,FAILED,FAILED,FAILED,FAILED,2116.05,3049.48,2941.23,1081.53,664.893,498.543,FAILED,498.543
af-synthesis_wt-af-synthesis_stb_50_140_1.wcnf,FAILED,FAILED,3136.98,FAILED,FAILED,FAILED,FAILED,FAILED,2382.33,FAILED,FAILED,1244.45,855.805,803.146,FAILED,803.146
af-synthesis_wt-af-synthesis_stb_50_140_7.wcnf,1827.84,2424.5,2006.88,FAILED,2310.46,2904.59,FAILED,FAILED,2003.01,FAILED,FAILED,1097.38,738.72,580.032,FAILED,580.032
af-synthesis_wt-af-synthesis_stb_50_160_1.wcnf,3386.53,3127.87,3012.42,3476.67,FAILED,2812.47,FAILED,FAILED,1936.22,2601.52,2707.71,722.182,544.449,440.936,FAILED,440.936
af-synthesis_wt-af-synthesis_stb_50_160_5.wcnf,FAILED,FAILED,3536.1,FAILED,FAILED,FAILED,FAILED,FAILED,2514.33,3306.31,FAILED,1248.52,760.347,590.135,FAILED,590.135
af-synthesis_wt-af-synthesis_stb_50_160_9.wcnf,1248.08,1548.57,2148.98,3416.83,2046.59,2311.76,FAILED,2770.77,1811.29,1078.96,1000.2,685.93,534.218,260.656,FAILED,260.656
af-synthesis_wt-af-synthesis_stb_50_20_4.wcnf,3137.26,3438.06,1463.41,FAILED,2823.85,3127.72,FAILED,FAILED,1653.33,1597.61,2851.98,476.263,326.418,274.67,FAILED,274.67
af-synthesis_wt-af-synthesis_stb_50_20_8.wcnf,2643.44,2939.85,1799.91,FAILED,2716.61,3011.81,FAILED,FAILED,1764.42,2855.3,2541.69,716.766,248.463,286.416,FAILED,248.463
af-synthesis_wt-af-synthesis_stb_50_200_0.wcnf,1966.02,1969.93,2504.09,FAILED,2114.06,2407.68,FAILED,FAILED,2173.01,3544.97,2981.13,828.144,541.234,735.201,FAILED,541.234
